Hanzi,Meaning,Reading,Color,Mean Word,Sound,Simplified,Traditional,Also Written,Ruby,Silhouette,
困境,dilemma<br>predicament<br>plight,kùnjìng,困境,,,,,,,,
解救,to rescue (w/ j)<br>to help out in difficulties,jiějiù,解救,,,,,,,,
开导,to enlighten<br>to talk somebody round,kāidǎo,开导,,,,,,,,
味觉,(sense of) taste,wèijué,味觉,,,,,,,,
嗅觉,(sense of) smell,xiùjué,嗅觉,,,,,,,,
触觉,(sense of) touch,chùjué,触觉,,,,,,,,
听觉,(sense of) hearing,tīngjué,听觉,,,,,,,,
视觉,(sense of) sight,shìjué,视觉,,,,,,,,
宁静,tranquil (w/ n),níngjìng,宁静,,,,,,,,
浮,to float,fú,浮,,,,,,,,
溅,to splash,jiàn,溅,,,,,,,,
海滨,seaside,hǎibīn,海滨,,,,,,,,
沙滩,beach (w/ sh),shātān,沙滩,,,,,,,,
推荐,to recommend,tuījiàn,推荐,,,,,,,,
咖啡溅得到处都是,the coffee splashed everywhere,kāfēi jiàn dédào chù dōu shì,咖啡溅得到处都是,,,,,,,,
湿纸巾,wet-wipe,shī zhǐjīn,湿纸巾,,,,,,,_ _ _,
季前赛,the preseason (sports),jì qián sài,季前赛,,,,,,,,
季后赛,the post-season,jì hòu sài,季后赛,,,,,,,,
对白,"dialogue (of a movie, etc)",duìbái,对白,,,,,,,,
清洁,to clean (not to wash - 清洗),qīngjié,清洁,,,,,,,,
清洗,to wash (not to clean - 清洁),qīngxǐ,清洗,,,,,,,,
强制,"mandatory, compulsory",qiángzhì,强制,,,,,,,,
意志,willpower<br>determination<br>will,yìzhì,意志,,,,,,,,
文书官,a clerk,wénshū guān,文书官,,,,,,,,
征求,to solicit<br>to petition<br>to seek,zhēngqiú,征求,,,,,,,_ _,
终止,to terminate,zhōngzhǐ,终止,,,,,,,,
解散,to disband<br>to dissolve (a body),jiěsàn,解散,,,,,,,,
协助,to assist (w/ x)<br>to aid,xiézhù,协助,,,,,,,,
部队,a force (military),bùduì,部队,,,,,,,,
火花,spark (not 闪烁)<br>sparkle,huǒhuā,火花,,,,,,,,
粗俗,vulgar,cūsú,粗俗,,,,,,,,
打靶,target<br>target shooting<br>to go target shooting,dǎbǎ,打靶,,,,,,,,
长达3天,up to 3 days,chángdá san3 tiān,长达3天,,,,,,,_ _ 3 _,
舍命,to lay down ones life,shěmìng,舍命,,,,,,,,
撒但,Satan,sādàn,撒但,,,,,,,,
蘸,to dip (into a liquid),zhàn,蘸,,,,,,,,
蘸着巧克力的饼干,cookies dipped in chocolate,zhànzhe qiǎokèlì de bǐnggān,蘸着巧克力的饼干,,,,,,,,
递给,to hand something (to someone - not 交给),dì gěi,递给,,,,,,,,
胸膛,chest (not 胸部),xiōngtáng,胸膛,,,,,,,_ _,
仆人,servant,púrén,仆人,,,,,,,,
万有,All Things,wànyǒu,万有,,,,,,,_ _,
他爱他们到底,He loved them to the end.,tā ài tāmen dàodǐ,他爱他们到底,,,,,,,,
永存,everlasting,yǒngcún,永存,,,,,,,,
应验,to be fulfilled (of a prophecy)<br>to come true,yìngyàn,应验,,,,,,,,
字体,font<br>typeface,zìtǐ,字体,,,,,,,,
加粗,bold (of text)<br>to make bold,jiācū,加粗,,,,,,,,
斜体,italics (of text),xiétǐ,斜体,,,,,,,,
最大化,to maximize (a window on the computer),zuìdà huà,最大化,,,,,,,,
最小化,to mimize (a window on a computer screen),zuìxiǎo huà,最小化,,,,,,,,
桌面,desktop (main computer screen),zhuōmiàn,桌面,,,,,,,,
重做,redo,chóngzuò,重做,,,,,,,,
撤销,undo,"""<span class=""""tone4"""">chè</span><span class=""""tone1"""">xiāo</span>""",撤销,,,,,,,,
图标,icon (computing),túbiāo,图标,,,,,,,,
剪切,"""to cut (as in """"cut-and-paste"""")""",jiǎnqiē,剪切,,,,,,,,
粘贴,"""to paste (as in """"cut-and-paste"""")""",zhāntiē,粘贴,,,,,,,,
复制,"""to copy (as in """"copy-and-paste"""")""",fùzhì,复制,,,,,,,,
选中,to highlight (on the computer)<br>to select,xuǎnzhòng,选中,,,,,,,,
保存,to save (computing),bǎocún,保存,,,,,,,,
运行,to run (computing),yùnxíng,运行,,,,,,,,
首页,homepage (internet),shǒuyè,首页,,,,,,,,
台式电脑,desktop computer,táishì diànnǎo,台式电脑,,,,,,,,
外交,foreign affairs<br>diplomacy,wàijiāo,外交,,,,,,,,
手提电脑,laptop (w/ sh),shǒutí diànnǎo,手提电脑,,,,,,,,
盲区,blind spot,mángqū,盲区,,,,,,,,
最初两天,the first two days,zuìchū liǎng tiān,最初两天,,,,,,,_ _ _ _,
电源键,the power button,diànyuán jiàn,电源键,,,,,,,,
约但河,the River Jordan,Yuē dàn hé,约但河,,,,,,,,
灭亡,to perish,mièwáng,灭亡,,,,,,,,
行走,to walk,xíngzǒu,行走,,,,,,,_ _,
所罗门,Solomon,Suǒluómén,所罗门,,,,,,,,
廊,corridor<br>collonade<br>porch,láng,廊,,,,,,,_,
修殿节,Hanukkah<br>the Feast of the Dedication,xiū diàn jié,修殿节,,,,,,,,
比喻,figurative story<br>analogy<br>metaphor/simile<br>to compare,bǐyù,比喻,,,,,,,,
逃跑,to run away<br>to escape,táopǎo,逃跑,,,,,,,,
盗贼,robber (w/ d),dàozéi,盗贼,,,,,,,_ _,
丰盛,"rich, richness<br>sumptuous",fēngshèng,丰盛,,,,,,,,
偷窃,"to steal, to pilfer<br>theft",tōuqiè,偷窃,,,,,,,_ _,
强盗,robber (w/ q),qiángdào,强盗,,,,,,,,
夺,to seize<br>to take away forcibly<br>to wrest control of,duó,夺,,,,,,,_,
无非,nothing more than...,wúfēi,无非,,,,,,,_ _ …,
正如...,just as...<br>precisely as...,zhèngrú...,正如...,,,,,,,,
瞎子,a blind person (w/ x),xiāzi,瞎子,,,,,,,_ _,
瞎眼,blind (adj. - w/ x),xiāyǎn,瞎眼,,,,,,,,
僭妄,blasphemy (presumption),jiàn wàng,僭妄,,,,,,,,
纷争,to dispute<br>a dispute (w/ f),fēnzhēng,纷争,,,,,,,_ _,
马可,Mark,Mǎ kě,马可,,,,,,,,
起头,beginning (n. - w/ q),qǐtóu,起头,,,,,,,,
以赛亚,Isaiah,Yǐsàiyà,以赛亚,,,,,,,,
使者,messenger,shǐzhě,使者,,,,,,,,
玛拉基,Malachi,Mǎlājī,玛拉基,,,,,,,,
蝗虫,locust,huángchóng,蝗虫,,,,,,,,
不配,"""don't deserve<br>unworthy""",bùpèi,不配,,,,,,,,
喜悦,pleased<br>joyful<br>delight,xǐyuè,喜悦,,,,,,,,
拿撒勒,Nazareth,Násālēi,拿撒勒,,,,,,,,
雅各,Jacob (sometimes James),Yǎgè,雅各,,,,,,,,
跟从我,follow me,gēncóng wǒ,跟从我,,,,,,,,
文士,scribe,wénshì,文士,,,,,,,,
污鬼,unclean spirit,wū guǐ,污鬼,,,,,,,,
肯,to consent<br>to be willing,kěn,肯,,,,,,,_,
对抗,to resist (w/ d)<br>to withstand<br>to fight<br>confrontation,duìkàng,对抗,,,,,,,,
研究所,research intstitute,yánjiū suǒ,研究所,,,,,,,,
棋子,piece (in a game)<br>pawn (used by others for their own purposes),qízǐ,棋子,,,,,,,,
医护人员,medic<br>medical personnel,yīhùrényuán,医护人员,,,,,,,_ _ _ _,
治愈,to cure,zhìyù,治愈,,,,,,,,
轮到你了,"""it's your turn""",lún dào nǐle,轮到你了,,,,,,,,
抽牌,to draw a card,chōu pái,抽牌,,,,,,,,
一轮,a turn (in a game)<br>a round,yī lún,一轮,,,,,,,,
表亲,"""cousins (mother's side)""",biǎoqīn,表亲,,,,,,,,
堂亲,"""cousins (father's side)""",táng qīn,堂亲,,,,,,,,
卡片,card,kǎpiàn,卡片,,,,,,,_ _,
疏远,to drift apart<br>to become estranged<br>estranged<br>distant,shūyuǎn,疏远,,,,,,,,
树莓,raspberry,shùméi,树莓,,,,,,,,
松软,"soft, fluffy (of food)",sōngruǎn,松软,,,,,,,,
排斥,"to repel (say, of charges)<br>to exclude",páichì,排斥,,,,,,,,
追踪,"to track (stats, animals, etc.)<br>to trace/pursue",zhuīzōng,追踪,,,,,,,,
心态,"""attitude (of the heart)<br>state of one's psyche""",xīntài,心态,,,,,,,,
采用,"to adopt, to employ, to use",cǎiyòng,采用,,,,,,,,
打印机,printer,dǎyìn jī,打印机,,,,,,,,
建模,modelling (as in to establish models),jiànmó,建模,,,,,,,,
南瓜,pumpkin,nánguā,南瓜,,,,,,,,
南瓜派,pumpkin pie,nánguā pài,南瓜派,,,,,,,,
主菜,main course,zhǔ cài,主菜,,,,,,,,
前菜,appetizer,qiáncài,前菜,,,,,,,,
配菜,a side dish,pèi cài,配菜,,,,,,,,
货比三家,to shop around,huò bǐ sānjiā,货比三家,,,,,,,,
后遗症,"after-effects (of an illness, something bad...)<br>aftermath",hòuyízhèng,后遗症,,,,,,,,
血管,blood vessel,xiěguǎn,血管,,,,,,,,
瘫痪,paralysis<br>to be paralyzed (lit. and fig.),tānhuàn,瘫痪,,,,,,,,
瘫子,a lame person<br>a paralytic,tānzi,瘫子,,,,,,,,
轮回,reincarnation,lúnhuí,轮回,,,,,,,,
消防部,fire department,xiāofáng bù,消防部,,,,,,,,
消防员,firefighter,xiāofáng yuán,消防员,,,,,,,,
消防车,fire truck,xiāofáng chē,消防车,,,,,,,,
惹,to stir up<br>to cause (problems),rě,惹,,,,,,,_,
祸,calamity (w/ h)<br>disaster,huò,祸,,,,,,,_,
月亮惹的祸,"""it's the moon's fault<br>troubled by the moon<br>vexed by the moon""",yuèliàng rě de huò,月亮惹的祸,,,,,,,,
天然气,natural gas,tiānránqì,天然气,,,,,,,,
待命,to be on-call<br>standby,dàimìng,待命,,,,,,,,
脑震荡,concussion,nǎo zhèndàng,脑震荡,,,,,,,,
修理厂,repair shop,xiūlǐ chǎng,修理厂,,,,,,,,
拖车,to tow (a vehicle)<br>a tow truck,tuōchē,拖车,,,,,,,_ _,
气囊,air bag (in a vehicle),qìnáng,气囊,,,,,,,,
弹出来,to pop out,tánchū lái,弹出来,,,,,,,_ _ _,
弹出,to pop up<br>to eject<br>to exit from,tánchū,弹出,,,,,,,_ _,
氯气,chlorine,lǜqì,氯气,,,,,,,,
红疹,rash,hóng zhěn,红疹,,,,,,,,
旱鸭子,"""a dry duck (a land-lover, someone who can't swim)""",hànyāzi,旱鸭子,,,,,,,,
腰围,waistline,yāowéi,腰围,,,,,,,,
榜样,role model<br>example (not 原型),bǎngyàng,榜样,,,,,,,,
大汗淋漓,dripping with sweat,dà hàn línlí,大汗淋漓,,,,,,,,
淋漓,dripping wet,línlí,淋漓,,,,,,,,
暖气,heating,nuǎnqì,暖气,,,,,,,,
湿冷,clammy,shīlěng,湿冷,,,,,,,,
暖炉,space heater,nuǎnlú,暖炉,,,,,,,,
炉子,stove<br>oven<br>furnace,lúzi,炉子,,,,,,,,
供暖,to supply heating<br>to provide heating,gōngnuǎn,供暖,,,,,,,,
短袖,short sleeves<br>short sleeved shirt,duǎnxiù,短袖,,,,,,,,
袖子,sleeve,xiùzi,袖子,,,,,,,,
晾,to hang to dry in the air,liàng,晾,,,,,,,,
晾干,to dry in the sun,liànggān,晾干,,,,,,,,
二合一,2-in-1,èr héyī,二合一,,,,,,,,
阳台,balcony,yángtái,阳台,,,,,,,,
朝南,to face south<br>facing south,cháo nán,朝南,,,,,,,,
蒸馏水,distilled water,zhēngliú shuǐ,蒸馏水,,,,,,,,
纯净水,purified water,chúnjìng shuǐ,纯净水,,,,,,,,
加湿器,humidifier,jiāshī qì,加湿器,,,,,,,,
过滤,to filter,guòlǜ,过滤,,,,,,,,
穿过,to pass through,chuānguò,穿过,,,,,,,,
抽湿器,dehumidifier,chōu shī qì,抽湿器,,,,,,,,
风扇,a fan,fēngshàn,风扇,,,,,,,_ _,
进行精神层面的交流,to communicate on a spiritual level,jìnxíng jīngshén céngmiàn de jiāoliú,进行精神层面的交流,,,,,,,,
掌控,to take control<br>to take over<br>to control,zhǎngkòng,掌控,,,,,,,,
掌控世界,to take over the world,zhǎngkòng shìjiè,掌控世界,,,,,,,,
渺小,insignificant<br>small,miǎoxiǎo,渺小,,,,,,,_ _,
海啸,tsunami,hǎixiào,海啸,,,,,,,,
旗袍,Qipao,qí páo,旗袍,,,,,,,,
长袜,stockings<br>knee-high socks,cháng wà,长袜,,,,,,,,
背心,tank top/vest,bèi xīn,背心,,,,,,,,
卫衣,Hoodie,wèi yī,卫衣,,,,,,,,
连指手套,mittens,lián zhǐ shǒu tào,连指手套,,,,,,,_ _ _ _,
耳罩,earmuffs,ěr zhào,耳罩,,,,,,,,
运动鞋,Sneakers,yùn dòng xié,运动鞋,,,,,,,,
凉鞋,sandals,liáng xié,凉鞋,,,,,,,,
雨靴,rain boots,yǔ xuē,雨靴,,,,,,,,
皮鞋,leather shoes,pí xié,皮鞋,,,,,,,,
鹿皮鞋,Moccasins,lù pí xié,鹿皮鞋,,,,,,,,
手镯,bracelet,shǒu zhuó,手镯,,,,,,,,
耳环,earring,ěr huán,耳环,,,,,,,,
袖扣,cufflinks,xiù kòu,袖扣,,,,,,,,
手帕,handkerchief,shǒu pà,手帕,,,,,,,,
雨衣,rain coat,yǔ yī,雨衣,,,,,,,,
扣子,button,kòu zi,扣子,,,,,,,,
尼龙,nylon,ní lóng,尼龙,,,,,,,,
绒,velvet,róng,绒,,,,,,,,
牛仔布,denim,niú zǎi bù,牛仔布,,,,,,,_ _ _,
皮革,leather,pí gé,皮革,,,,,,,,
亚麻,linen,yà má,亚麻,,,,,,,,
毛皮,fur (of an animal),máo pí,毛皮,,,,,,,_ _,
预防,to prevent (w/ y)<br>prevention,yùfáng,预防,,,,,,,,
前两天,the first two days,qián liǎng tiān,前两天,,,,,,,_ _ _,
埋怨,to complain (w/ m),mányuàn,埋怨,,,,,,,,
牢骚,complaint<br>discontent<br>to complain (w/ l),láosāo,牢骚,,,,,,,,
守,to defend (w/ sh)<br>to guard,shǒu,守,,,,,,,_,
砸,to smash<br>to pound,zá,砸,,,,,,,,
欢呼,to cheer for<br>to acclaim,huānhū,欢呼,,,,,,,,
错过,"to miss (a train, an opportunity, etc...)",cuòguò,错过,,,,,,,_ _,
交响乐,symphony,jiāoxiǎngyuè,交响乐,,,,,,,,
空手道,karate,kōngshǒudào,空手道,,,,,,,,
悬崖,cliff,xuányá,悬崖,,,,,,,,
滑雪,to ski<br>skiing,huáxuě,滑雪,,,,,,,,
单板,snow board,dānbǎn,单板,,,,,,,,
单板滑雪,snowboarding,dānbǎn huáxuě,单板滑雪,,,,,,,,
花样,"tricks, fancy style",huāyàng,花样,,,,,,,,
死得很惨,to die tragically,sǐ dé hěn cǎn,死得很惨,,,,,,,,
抬下去,to carry down (something somewhere),tái xiàqù,抬下去,,,,,,,,
深远,profound (not 深刻),shēnyuǎn,深远,,,,,,,_ _,
世界杯,the World Cup,shìjièbēi,世界杯,,,,,,,,
急死,worried sick<br>the anxiety is killing me,jísǐ,急死,,,,,,,,
打法,style/manner of play,dǎ fǎ,打法,,,,,,,,
球门,goal (in soccer),qiúmén,球门,,,,,,,,
射门,to shoot (a ball towards the goal),shèmén,射门,,,,,,,,
大喊大叫,yelling and screaming (idiom)<br>to make a racket,dàhǎn dàjiào,大喊大叫,,,,,,,_ _ _ _,
发牢骚,to whine<br>to be grouchy,fā láosāo,发牢骚,,,,,,,_ _ _,
恨不得,"""can't wait...<br>can't bear to wait any longer...""",hèn bude,恨不得,,,,,,,_ _ _,
怀念,nostalgia<br>to cherish the memory of...,huáiniàn,怀念,,,,,,,,
鄙视,to despise<br>to look down upon,bǐshì,鄙视,,,,,,,,
奥利奥,Oreo,ào lì ào,奥利奥,,,,,,,,
集市,"fair (market, bazaar)",jíshì,集市,,,,,,,,
食物中毒,food poisoning,shíwù zhòngdú,食物中毒,,,,,,,,
好奇,to wonder...,hàoqí,好奇,,,,,,,,
蒸锅,steamer (for food),zhēngguō,蒸锅,,,,,,,,
印象深刻,memorable (impressive),yìnxiàng shēnkè,印象深刻,,,,,,,_ _ _ _,
咸菜,pickled vegetables,xiáncài,咸菜,,,,,,,,
泡汤,to fizzle out (to soak in soup)<br>to fail,pàotāng,泡汤,,,,,,,,
加密货币,cryptocurrency,jiāmì huòbì,加密货币,,,,,,,,
加密,to encrypt<br>encryption,jiāmì,加密,,,,,,,,
货币,currency,huòbì,货币,,,,,,,,
北极光,the Northern Lights,běijí guāng,北极光,,,,,,,,
苏格兰,Scotland,sū gé lán,苏格兰,,,,,,,,
现场,on-site<br>the site/scene,xiànchǎng,现场,,,,,,,,
浆糊,paste (n.),jiànghù,浆糊,,,,,,,_ _,
有活力,energetic (of a person)<br>vital,yǒu huólì,有活力,,,,,,,_ _ _,
重新装满,"to refill (a bottle, etc...)",chóngxīn zhuāng mǎn,重新装满,,,,,,,_ _ _ _,
色欲,Lust (w/ s),sèyù,色欲,,,,,,,,
暴食,Gluttony,bàoshí,暴食,,,,,,,,
贪婪,Greed<br>avarice,tānlán,贪婪,,,,,,,,
怠惰,Sloth<br>idleness,dàiduò,怠惰,,,,,,,,
愤怒,Wrath,fènnù,愤怒,,,,,,,,
嫉妒,Envy,jídù,嫉妒,,,,,,,,
傲慢,Pride,àomàn,傲慢,,,,,,,,
原生,original<br>native<br>proto-,yuánshēng,原生,,,,,,,_ _,
欲望,Desire,yùwàng,欲望,,,,,,,,
纵欲,to indulge<br>indulgence,zòngyù,纵欲,,,,,,,,
野心,ambition (negative)<br>careerism,yěxīn,野心,,,,,,,,
利益,"""to benefit (w/ l)<br>(one's) interest""",lìyì,利益,,,,,,,,
个人利益,self-interest,gèrén lìyì,个人利益,,,,,,,,
背信弃义,treachery<br>breaking faith and abandoning right (idiom),bèixìn qì yì,背信弃义,,,,,,,,
动机信,personal statement/motivation letter,dòngjī xìn,动机信,,,,,,,,
势利,snobbish,shìlì,势利,,,,,,,,
残忍,cruel<br>merciless<br>ruthless,cánrěn,残忍,,,,,,,_ _,
罪恶,sin,"""zuì'è""",罪恶,,,,,,,_ _,
评判,to judge (a competition)<br>to appraise,píngpàn,评判,,,,,,,,
虚荣,vanity,xūróng,虚荣,,,,,,,,
傲慢,Pride,àomàn,傲慢,,,,,,,,
愤怒,Wrath,fènnù,愤怒,,,,,,,,
懒惰,Sloth (the sin - w/ l),lǎnduò,懒惰,,,,,,,,
贪欲,Greed (not 贪婪),tān yù,贪欲,,,,,,,,
淫欲,Lust (w/ y),yínyù,淫欲,,,,,,,,
食欲,Gluttony (w/ sh),shíyù,食欲,,,,,,,,
预感,premonition (feeling)<br>presentiment,yùgǎn,预感,,,,,,,,
封建,feudal<br>feaudalism<br>feudalistic,fēngjiàn,封建,,,,,,,,
悲伤,"sad, sorroful (w/ b)<div>grief, sorrow</div>",bēishāng,悲伤,,,,,,,_ _,
土生土长的中国人,born and raised chinese,tǔshēngtǔzhǎng de zhōngguó rén,土生土长的中国人,,,,,,,_ _ _ _ 的中国人,
烦躁,irritable (of a person),fánzào,烦躁,,,,,,,_ _,
闷,stuffy<br>smothered<br>covered tightly,mēn,闷,,,,,,,_,
控制不住自己,"""can't control myself""",kòngzhì bù zhù zìjǐ,控制不住自己,,,,,,,,
梳理,to comb (fig. to sort out),shūlǐ,梳理,,,,,,,,
期望,to expect<br>to have expectations<br>to hope<br>to earnestly hope,qīwàng,期望,,,,,,,_ _,
呼噜,to snore,hūlū,呼噜,,,,,,,,
和好,to make up<br>to reconcile,hé hǎo,和好,,,,,,,,
犯困,to get sleepy (coll.),fànkùn,犯困,,,,,,,_ _,
人格,personality<br>integrity<br>dignity,réngé,人格,,,,,,,_ _,
反思,to reflect (thoughfully),fǎnsī,反思,,,,,,,_ _,
回顾,to look back<br>to review,huígù,回顾,,,,,,,,
模糊,vauge<br>indistinct<br>fuzzy<br>blurry,móhu,模糊,,,,,,,,
逃避,to escape/avoid (not 逃跑)<br>to shirk<br>to evade,táobì,逃避,,,,,,,,
具象,representational<br>figurative,jùxiàng,具象,,,,,,,,
潜意识,subconcious (not 下意识)<br>unconcious mind,qián yìshí,潜意识,,,,,,,,
广阔,broad<br>wide<br>vast,guǎngkuò,广阔,,,,,,,_ _,
分裂,to split (something)<br>to divide<br>fission,fēnliè,分裂,,,,,,,,
局外人,an outsider (person),júwài rén,局外人,,,,,,,,
微不足道,negligible<br>insignificant,wēi bùzúdào,微不足道,,,,,,,_ _ _ _,
场景,scene<br>scenario,chǎngjǐng,场景,,,,,,,,
舒适,cozy<br>snug,shūshì,舒适,,,,,,,,
所谓,so-called...,suǒwèi,所谓,,,,,,,,
容纳,to accomade (tolerate)<br>to contain<br>to hold,róngnà,容纳,,,,,,,,
消化,to digest<br>digestion,xiāohuà,消化,,,,,,,,
情绪,mood (w/ q),qíngxù,情绪,,,,,,,_ _,
或许,perhaps (more formal than 也许),huòxǔ,或许,,,,,,,,
智者,sage<br>wise man<br>the Wise,zhìzhě,智者,,,,,,,,
哈哈大笑,to burst out into laughter<br>to laugh heartily,hāhā dà xiào,哈哈大笑,,,,,,,,
眼神,"""the expression or emotion showing in one's eyes""",yǎnshén,眼神,,,,,,,,
行军,to march (an army)<br>a march,xíngjūn,行军,,,,,,,,
善用,to put (smth) to good use,shàn yòng,善用,,,,,,,,
绷带,bandage,bēngdài,绷带,,,,,,,,
有力,powerful,yǒulì,有力,,,,,,,有 _,
斧头,axe,fǔtóu,斧头,,,,,,,,
援手,aid (w/ y)<br>assistance,yuánshǒu,援手,,,,,,,,
甘道夫,Gandalf,Gāndàofū,甘道夫,,,,,,,,
定睛,"""to fix one's eyes on""",dìngjīng,定睛,,,,,,,,
意料,to expect (w/ yi)<br>to anticipate,yìliào,意料,,,,,,,,
出人意料,"""out of man's expectation<br>unexpected (idiom)""",chū rén yìliào,出人意料,,,,,,,_ _ _ _,
紧急关头,critical juncture<br>crucial moment,jǐnjí guāntóu,紧急关头,,,,,,,_ _ _ _,
关头,juncture<br>moment,guāntóu,关头,,,,,,,,
致敬,"""to salute<br>to pay one's respects to""",zhìjìng,致敬,,,,,,,,
你赢我一个！,You beat me by one!,Nǐ yíng wǒ yīgè!,你赢我一个！,,,,,,,,
嗓音,voice (not 声音),sǎngyīn,嗓音,,,,,,,,
洪亮,loud and clear<br>resonant<br>sonorous,hóngliàng,洪亮,,,,,,,,
喊道,to yell (h_ d_),hǎndào,喊道,,,,,,,,
矮人,Dwarf,ǎirén,矮人,,,,,,,,
四周,all around<br>all about,sìzhōu,四周,,,,,,,,
精灵,"elves, fairies, etc.",jīnglíng,精灵,,,,,,,,
骑士,knight<br>rider,qíshì,骑士,,,,,,,,
沐浴,to bathe<br>to immerse,mùyù,沐浴,,,,,,,,
沐浴在阳光中,bathed in sunlight,mùyù zài yángguāng zhōng,沐浴在阳光中,,,,,,,,
重逢,reunion<br>to meet again,chóngféng,重逢,,,,,,,,
吉,lucky<br>giga-,jí,吉,,,,,,,,
姆,woman who looks after small children,mǔ,姆,,,,,,,,
四,four,sì,四,,,,,,,,
周,to make a circuit<br>cycle<br>complete,zhōu,周,,,,,,,,
重,to repeat<br>repetition<br>re-,chóng,重,,,,,,,,
士,scholar<br>member of senior misterial class,shì,士,,,,,,,,
骑,to sit astride<br>to ride,qí,骑,,,,,,,,
道,way<br>path<br>truth<br>principle,dào,道,,,,,,,,
夫,"husband, man",fū,夫,,,,,,,,
甘,sweet,gān,甘,,,,,,,,
睛,eye<br>eyeball,jīng,睛,,,,,,,,
定,to set<br>to fix,dìng,定,,,,,,,,
带,band<br>belt<br>to carry<br>to bear,dài,带,,,,,,,,
蛮,quite,mán,蛮,,,,,,,_,
美好,"beautiful, good, fine (w/ m)",měihǎo,美好,,,,,,,,
核酸,DNA (short)<br>nucleic acid,hésuān,核酸,,,,,,,,
展望,outlook (w/ zh)<br>prospects<br>to look ahead,zhǎnwàng,展望,,,,,,,,
环节,aspect (of a project)<br>sector (of the economy)<br>stage (of a process - w/ h),huánjié,环节,,,,,,,,
默契,a tacit understanding<br>rapport,mòqì,默契,,,,,,,,
接纳,to admit (to membership),jiēnà,接纳,,,,,,,,
荏苒,to slip away (literary - of time),rěnrǎn,荏苒,,,,,,,,
时光荏苒,time slips away... (time flies),shíguāng rěnrǎn,时光荏苒,,,,,,,,
张扬,flamboyant<br>to display ostentatiously,zhāngyáng,张扬,,,,,,,,
历程,"course, process (w/ l - not 路程)",lìchéng,历程,,,,,,,,
勉励,encourage (w/ m),miǎnlì,勉励,,,,,,,_ _,
夸奖,to praise (w/ k)<br>to compliment,kuājiǎng,夸奖,,,,,,,,
在前五的,in the top five,zài qián wǔ de,在前五的,,,,,,,_ _ _ _,
有多半时候,most of the time (not 大部分),yǒu duōbàn shíhòu,有多半时候,,,,,,,_ _ _ _ _,
抄,"to make a copy, to plagiarize",chāo,抄,,,,,,,,
科目,academic subject (not 领域),kēmù,科目,,,,,,,,
学前班,preschool,xué qián bān,学前班,,,,,,,,
纯正,"pure, unadulterated (not 清纯)",chúnzhèng,纯正,,,,,,,_ _,
布置,to put in order<br>to assign (homework),bùzhì,布置,,,,,,,,
显著,"notable, remarkable, outstanding",xiǎnzhù,显著,,,,,,,,
尬在那儿,to just be there stupidly (awkwardly),"""gà zài nà'er""",尬在那儿,,,,,,,_ _ _ _,
双节棍,nunchuck,shuāngjié gùn,双节棍,,,,,,,,
李小龙,Bruce Li,Lǐ Xiǎolóng,李小龙,,,,,,,,
自然而然会觉得。。。,you will naturally feel...,"""zìrán'érrán huì juédé...""",自然而然会觉得。。。,,,,,,,,
难学,difficult to study,nán xué,难学,,,,,,,,
长途,long distance<br>long haul,chángtú,长途,,,,,,,,
混血,mixed race<br>mixed blood,hùnxiě,混血,,,,,,,,
如画,picturesque,rúhuà,如画,,,,,,,,
琐碎,trivial<br>triffling,suǒsuì,琐碎,,,,,,,,
中上水平,mid-to-upper level,zhōng shàng shuǐpíng,中上水平,,,,,,,,
白费,"""to waste (one's energy - w/ b)""",báifèi,白费,,,,,,,,
茂盛,lush,màoshèng,茂盛,,,,,,,,
旅游旺季,tourist season,lǚyóu wàngjì,旅游旺季,,,,,,,,
反季节,off-season (tourist),fǎn jìjié,反季节,,,,,,,,
一座岛,an island,yīzuò dǎo,一座岛,,,,,,,一 _ _,
角落,corner<br>nook,jiǎoluò,角落,,,,,,,,
小雨,drizzle<br>light rain,xiǎoyǔ,小雨,,,,,,,,
雨滴,rain drop,yǔdī,雨滴,,,,,,,,
避开,to avoid (w/ b - not 避免)<br>to evade,bìkāi,避开,,,,,,,,
风景如画,picturesque (of a landscape),fēngjǐng rú huà,风景如画,,,,,,,_ _ _ _,
改编,"adaptation (of a book, etc.)<br>to adapt",gǎibiān,改编,,,,,,,,
隐秘,secret (not 秘密),yǐnmì,隐秘,,,,,,,,
棘手,tricky (of a problem)<br>thorny,jíshǒu,棘手,,,,,,,,
晚熟,late bloomer<br>late blooming,wǎnshú,晚熟,,,,,,,,
早熟,early bloomer<br>early blooming<br>precocious,zǎoshú,早熟,,,,,,,,
孤立,isolated (not 隔离)<br>to isolate,gūlì,孤立,,,,,,,,
加载,"to load (a file, cargo...)",jiāzài,加载,,,,,,,,
加载不出来,"""(it) isn't loading""",jiāzài bù chūlái,加载不出来,,,,,,,,
灯塔,lighthouse,dēngtǎ,灯塔,,,,,,,,
痴情,infatuation (emotional w/ ch - not 痴迷)<br>infatuated,chīqíng,痴情,,,,,,,,
有化学反应,to have (romantic) chemistry,yǒu huàxué fǎnyìng,有化学反应,,,,,,,,
两全其美,"""to satisfy a rivals demands (idiom)<br>to have it both ways<br>to get the best of both worlds<br>to have one's cake and eat it too""",liǎngquán qí měi,两全其美,,,,,,,,
耕地,to plow<br>arable land,gēngdì,耕地,,,,,,,,
耕种,to cultivate (land)<br>to till,gēngzhòng,耕种,,,,,,,,
