Hanzi,Meaning
亲切,kind<div>amiable</div>
得胜,to triumph<br>
耶和华,Jehovah<br>
雅威,Yahweh <br>
称颂,to praise (w/ ch)<br>
盾牌,shield <br>
荣耀,glory <br><div>honor</div>
抬起,"to lift up (a box, your head, etc...)<br>"
仇敌,foe<br>
围绕,<div>to encircle (w/ w)</div> to revolve around <br>to center on (an issue) <br>
攻击,to attack <br>an attack (terrorist or military) <br>
遭到,to meet with (sth unfortunate) <br><div>to suffer&nbsp;<br></div>
怀,bosom <br>heart <br>
靠,to lean against or on <br>
同在,presence (n.)<div>to be with (v.)</div>
他一直与我同在,He is always with me
你的同在,Your presence
烘焙,baking<br><div>to bake</div>
山东省,Shandong<br>
微博,Weibo
酵母,yeast <br><div>leaven</div>
面粉,flour <br>
打蛋器,egg beater <br>
流行,to spread (w/ l)<div><div>to rage (of contagious disease) <br></div></div>
抖音,"Douyin, TikTok<br>"
接下来,following...<div>next...<br></div>
美味,delicious (w/ m)<br>
想我了吗？,did you miss me?
口感,mouth-feel<br>texture (of food) <br>
难民,refugee <br>
收留,<div>to take in (to someone's care)</div> to offer shelter <br>
收留难民,to take in refugees
老虎,tiger <br>
造成,to bring about (something negative)<br>to cause <br>
饲养,to raise (a pet)<br>
协会,association &nbsp;(as in organization)<br>
主席,chairman <br>
缺乏,to lack (not 或缺)<br>to be short of<br>lack
无法,unable (w/ w)<br>incapable<br><br>
蟒蛇,python <br>
大连市,Dalian&nbsp;
中国日报,China Daily (an English language newspaper) <br>
财新,Caixin
烧烤,barbecue <br>to roast <br>
长沙市,Changsha&nbsp;<br>
出差,to go on an official or business trip <br>
当地饭馆,local restaurant
武汉市,Wuhan<br>
志愿者,volunteer <br>
彻底,thorough <br>thoroughly <br>complete <br>
彻底打扫,to sweep thouroughly
招募,to recruit <br>to enlist <br>
清洁工,janitor <br>
住宿,lodging <br>accommodation&nbsp;<div>to lodge at</div>
报名,to sign up <br>to enlist <br>
消毒,to disinfect (w/ x)<br>to sterilize <br>
防护服,<div>protective suit</div><div>hazmat suit<br></div>
压抑,oppressive <br>stifling <br>repression <br>
去世,to pass away <br>
风险,risk <br>hazard <br>
勇敢,brave <br>courageous <br>
最后一刻,the last moment
家乡,hometown <br>
厨师,cook <br>chef <br>
实现,to implement (w/ _现)<br>to realize <br>
愿望,desire (w/ y - not 欲望)<br>wish
大卫,David<br>
牧羊者,shepherd <br>
领导,to lead <br>leader <br>
政府,government <br>
北京市,Beijing <br>
闪电,lightning <br>
雷声,thunder <br>
模拟,to simulate <br>to imitate <br>
洛杉矶,Los Angeles<br>
一位女性,a woman
一位男性,a man
高质量,high quality <br>
低质量,low quality
赢得,to win (smth)<br>to gain <br>
海淀区,Haidian district<br>
朝阳区,Chaoyang district<br>
他与众不同,He stands out from the masses
担忧,to worry (w/ _忧)<br><div>worry<br>to be concerned <br></div><div>concerns</div>
温暖,warm (w/ 温)<br><div>warmth (of a person)</div>
创造,to create (w/ _造)<br>to bring about <br>
记忆,memory <br><div>to recall&nbsp;<br></div>
记忆力,ability to remember <br>
种植,to plant <br>to grow <br>
生长,to grow (of a living thing)<br><div>growth</div>
精神,vigor<div>vitality</div><div>spirit</div>
传统,tradition <br>traditional <br>
古巴,Cuba <br>
宋朝,Song Dynasty<br>
唐朝,Tang dynasty (618-907) <br>
元朝,Yuan or Mongol dynasty (1279-1368) <br>
汉朝,Han Dynasty (206 BC-220 AD) <br>
周朝,Zhou Dynasty <br>
西周,&nbsp; Western Zhou (1027-771 BC) <br>
东周,Eastern Zhou (770-221 BC)
清朝,Qing dynasty (1644-1911)
商朝,Shang Dynasty (c. 1600-1046 BC) <br>
夏朝,Xia Dynasty (2070-1600 BC) <br>
面馆,Noodle restaurant
西雅图,Seattle<br>
韩国,South Korea<br>
朝鲜,North Korea <br>
首尔,&nbsp;Seoul<br>
限制,to restrict&nbsp;<div>to limit<br>restriction <br><div>limit</div></div>
登机,to board (a plane)<div><div>boarding</div></div>
咳嗽,to cough <br>
恢复,<div>to restore</div><div>to recover</div> to reinstate <br>to resume&nbsp;
航线,air route <br>
黄金,gold (n.)<br>
培养,to cultivate <br>to foster <br>to nurture <br>
体操,gymnastic <br>gymnastics <br>
除此之外,apart from this&nbsp;<div>otherwise<br></div>
团队,team <br>
获得,to obtain (w/ h)<br>to receive <br>to get <br>
在。。。的眼里,In the eyes of...
队员,team member <br>
独特,unique <br>distinct <br>having special characteristics <br>
美德,virtue <br>
正义,justice <br>righteousness <br>just <br>righteous <br>
非正义,injustice<div>unjust</div>
饥饿,hunger <br>starvation <br>
书包,book bag
护手霜,hand cream <br>hand lotion <br>
饼干,biscuit <br>cookie <br>
认真地想,to think carefully
习得,to acquire (some skill through practice)<div>to learn</div><div>acquisition</div>
回。。。去,to go back to...
教材,teaching material
形式,form <br>formal<br>formality <br>
灵活,flexible <br>nimble <br>agile <br>
死板,rigid (w/ s)<br>inflexible
基础,base <br>foundation <br>basis
基础材料,basic material<div>foundational material</div>
规则,rule (w/ 则)<br>regulation <br>
副词,adverb <br>
虚词,word having grammatical function but no meaning <br>
简化,to simplify <br>
符合,in accordance with <br>to accord with <br>to conform to <br>
符合你中文水平的文章,an essay in accordance with your Chinese level
书面,in writing <br>written <br>
总结,<div>to summarize<br>summary <br></div>
段落,paragraph <br>(written) passage<br>
相似,to resemble <br>resemblance <br>
瑞士,Switzerland <br>
矛盾,contradiction <br>contradictory&nbsp;
资源,resources (not 资料)
我吃腻了汉堡,I'm sick of hamburgers
腻,tired of <br><div>sick of</div>
题材,subject matter <br>
难度,<div>difficulty</div><div>degree of difficulty<br></div>
数据,data&nbsp;
争议,controversy <br>dispute <br>to dispute <br>
他有很长的一段路要走,He has a long road ahead of him.
询问,to inquire <br>
归属感,sense of belonging <br>
思念,to long for <br>to miss <br>
思念过去的日子,to miss the old days
沿海,coastal <br>
叫做,to be called <br>to be known as <br>
犹太人,Jew <br>
做生意,to do business <br>
曾经,once <br>(past tense marker used before verb or clause) <br>
作为,to view as (w/ 作_)<br>to look upon (sth as) <br>to take sth to be <br>
财富,wealth <br>riches <br>
修鞋匠,<div>shoemaker</div> a cobbler <br>
剃须刀,shaver <br>razor <br>
纽扣,button <br>
留下,to leave behind <br>to stay behind <br>to remain <br>
房地产,real estate <br>
我花了一整天的时间,I spent the entire day
状态,state <br>state of affairs&nbsp;<br><div>mode <br></div>
紧张,nervous <br>
犯罪,to commit a crime <br>crime <br>
五大湖,the Great Lakes <br>
密歇根,Michigan<br>
伊利诺伊,Illinois<br>
审查,to censor<br>censorship
民主,democracy
仅仅,merely (w/ j)<br>only&nbsp;
年龄,(a person's) age (w/ _龄)<br>
酸痛,to ache <br>
改善,to improve (w/ g)
三文鱼,salmon<br>
进口,to import <br>imported <br><div>entrance</div>
出口,an exit <br>to export<br>
智利,Chile
醒,awake<div>to awake</div>
他们醒着的时候,While they are awake...
<div>我们离得很远</div>,We are very far apart
<div>国旗</div>,(national) flag
<div>剪辑</div>,to edit
剪辑师,editor
<div>口号</div>,slogan
<div>知名</div>,well-known (w/ zh)<div>famous</div>
<div>然而</div>,however
遗忘,to forget (formal)
<div>引起</div>,to give rise to<div>to arouse</div>
<div>引起人们的共鸣</div>,to resonate with people
<div>松树</div>,pine tree
<div>象征</div>,symbol<div>to symbolize</div><div>to signify</div>
<div>殖民</div>,to colonize<div>to establish a colony</div>
殖民地,colony
殖民者,colonist
<div>武器</div>,weapons<div>arms</div>
<div>掩埋</div>,to bury
<div>宣布独立</div>,to declare independence
独立,independent<div>independence</div>
<div>表面上</div>,On the surface...<div>On it's face...</div>
含义,<div>meaning (definitional - w/ h)</div>
<div>委婉</div>,tactful<div>euphamistic</div>
委婉说法,euphemism
<div>年轻</div>,young
<div>社交</div>,social
娱乐,<div>fun</div>entertainment<div>recreation</div>
<div>弹幕</div>,"barrage (military)<div>""bullet screen"" online feature</div>"
事实上,<div>as a matter of fact</div><div>in fact</div>
提到,to mention<div>to raise (a subject)</div><div>to bring up</div>
<div>组织性</div>,organization (adj.)
有组织性,organized
讲师,lecturer
宅男,otaku
播放视频,to play a video
<div>评论</div>,comments
观看,"to watch, to view (some performance or media)"
观看者,<div>viewer</div>viewers (of media)
<div>密集</div>,dense (as in closely compacted)<div>intensive</div>
<div>互动</div>,to interact<div>interactive</div>
<div>赞扬&nbsp;</div>,praise (w/ z)<div>to praise</div>
<div>字幕</div>,subtitles
<div>滑动</div>,to slide<div>sliding movement</div>
看上去,it would appear&nbsp;<div>it looks like (not 看起来）</div>
子弹,bullet<div>cartridge (of ammunition)</div>
大量,large number or quantity
小量,small number or quantity (w/ 量)
<div>大量评论</div>,a large number of comments
射击,to shoot<div>to fire (a weapon)</div><div>shooting</div><div>fire</div>
<div>实时</div>,real-time<div>live</div>
加深,to deepen
即时重放,instant replay
重放,"replay (of video, audio, etc)<div>to replay</div>"
<div>熊</div>,bear
展览,exhibit<div>exhibition</div><div>to exhibit</div>
裙子,skirt
武术,martial arts
跆拳道,taekwondo
本地,local (w/ b)
果园,orchard
聚在一起,to get together
聚,to congregate
感情,emotion (w/ an object)<div>feeling</div>
补充,to supplement<div>supplement</div><div>supplementary</div>
相关,related
相关的知识,related knowledge
<div>作家</div>,author<div>writter</div>
平台,"platform (physical, or software)"
<div>观点</div>,viewpoint<div>point of view</div>
<div>平均</div>,average
<div>点击</div>,click
<div>年底</div>,the end of the year
<div>订阅</div>,to subscribe<div>subscription</div>
<div>专栏</div>,column (for newpaper or website)
<div>陆陆续续</div>,one after another<div>consecutively</div>
<div>开设</div>,"to open (a store, a website, ... for business)"
突破,breakthrough<div>to make a break through</div><div>to break through</div>
<div>体态</div>,posture<div>physique</div><div>figure (w/ t)</div>
<div>芭蕾</div>,ballet
<div>成长</div>,"to grow, to mature (of child, etc...)"
在我的成长中,while I was growing up...
<div>捡</div>,to pick up<div>to collect</div><div>to gather</div>
捡到一颗石头,to pick up a stone
<div>缘分</div>,destiny
感人,"touching, moving (w/ g)"
近义词,synonym
看成,to view as (w/ k)<div>to regard as</div>
<div>事件</div>,events<div>happenings</div>
<div>人生的意义</div>,the meaning of life
<div>掌声</div>,applause (n. - not 鼓掌)
<div>悲剧</div>,tragedy (as in - type of drama)
<div>如何</div>,how (formal version of 怎么)
<div>日落</div>,sundown
<div>棉花</div>,cotton
<div>加工</div>,to process<div>processing</div>
<div>需求</div>,requirement (w/ x)<div>demand</div>
<div>B之类的A</div>,A's of type B...
固执,obstinate (w/ g)<div>stuborn</div>
免疫力,immunity (degree of)
官方,official (approved or issued by an authority)
牛津,Oxford
国会,congress<div>parliament</div>
战略,strategy
困惑,confused<div>perplexed</div>
上映,to screen (a movie)<div>to show (a movie)</div>
场,large place/field used for specific purpose<br>stage<br>measure word for recreational activities
好转,to improve (with zhuan)<div>to take a turn for the better</div><div>improvement</div>
票房,box office
热气球,hot air balloon
五颜六色,multi-colored<div>every color under the sun</div>
卡车,truck
火苗,flames
点燃,to ignite<div>to set on fire</div>
蜡烛,candle
燃烧,to burn
燃烧着的卡车,a burning truck
加油站,gas station
受伤,to be injured<div>injured</div><div>wounded</div>
一口气,a breath
吸一口气,to take a breath
腹肌,abs<div>abdominal muscles</div>
刺激,to stimulate<div>to provoke</div>
明显,clear (adj)<div>distinct</div><div>obvious</div>
呼吸,to breath
拉伸,to stretch (your body)
感受,feeling<div>perception</div><div>sensation</div><div>to feel (through senses)</div><div>to sense</div>
呼气,to exhale
吸气,to inhale
秒,second
新手,novice (w/ x)<div>noob</div>
俄罗斯,Russia
关节炎,arthritis
追求,to pursue<div>to seek after</div><div>to woo</div>
情感,"emotion (the concept, w/ no object)"
恨,to hate
憎恨,hatred (not 仇恨)
具有,to possess
如果你不介意。。。,if you don't mind...
擅长,to be good at
锅,"pot, pan, cauldron, etc..."
平底锅,pan (western style)
炒锅<br>,frying pan (chinese style)<div>wok</div>
高压锅,pressure cooker
素食,vegetarian food<div>to be a vegetarian</div>
素食者,a vegetarian
年代,decade (of a century)<div>age</div><div>period</div>
反抗,to revolt<div>to resist</div><div>revolt</div><div>resistence</div>
印象,impression
我对他的印象很好,I have a good impression of him
宣言,declaration<div>manifesto</div>
独立宣言,the Declaration of Independence
提名,to nominate<div>to put forward (a name)</div>
某人,somebody<div>someone</div>
任命,to appoint (to a job or position)
南北战争,the Civil War (American)
内战,civil war
交朋友,to make friends
寂寞,lonely (w/ j)
顽固,stubborn (w/ w)<div>obstinate</div>
丝绸,silk
慈禧太后,Empress Dowager Cixi
皇帝,emperor
地位,position (social)<div>status</div>
近三米长,nearly 3 meters long
鞋子,shoes
规模,scale<div>scope</div>
墓地,cemetary
黎巴嫩,Lebanon
外国人,foreigner
丹麦,Denmark
芬兰,Finland
统计,statistics (data or the field of study)
估计,to estimate<div>to reckon</div><div>estimate</div>
首相,prime minister
地区,"region, area"
亚马逊,Amazon
雨林,rain forest
热带雨林,tropical rainforest
太空,(outer) space
简称,abbreviation<div>to be abbreviated to</div>
确认,to verify<div>to confirm</div><div>confirmation</div>
卫星,satellite (artificial or otherewise)
睡懒觉,to sleep in<div>to sleep late</div>
剑桥,Cambridge
威尼斯,Venice
日子,day<div>days</div>
浪漫,romantic
小猫,kitten
门票,"ticket (for theater, park, etc...)"
约会,<div>a date</div>an appointment
王国,kingdom
矿井,"a mine (for stone, etc.)"
电影院,movie theater<div>cinema</div>
改成,to convert (w/ g)<div>to turn into...</div>
习近平,Xi Jinping
旅行社,travel agency
节约,<div>to save (resources)</div>to economize
微博账户,Weibo account
保卫,to defend
拍摄,to film<div>to shoot (a picture)</div>
副总统,vice president
副主席,vice chairman
新西兰,New Zealand
羊奶,goat milk
国内,domestic (as opposed to foreign)
加入,to join (as in: to become a member)
